a,b,V0,R,C,k,mws_projection_fraction,mws_local_snr_dB,mws_peak_amplitude,mws_rough_frequency_Hz,mws_frequency_Hz,frequency_error_Hz,abs_frequency_error_Hz,original_projection_energy,original_energy_fraction,combined_score
1,0.8,0.8,0.5,0.35,0.08,0.110659748795659,24.0410987686051,0.000899814031013847,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.35,0.14,0.128078048126232,27.6047774052043,0.00112840824982458,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.35,0.22,0.142114026935032,27.0691110774202,0.0013049233610938,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.35,0.32,0.140734719675641,28.2784303310704,0.00145842682035082,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.35,0.48,0.142385328066748,25.9241947076908,0.00274713420231499,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.35,0.7,0.150143274695054,24.0493253614175,0.00747099537116915,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.6,0.04,0.0760330940536746,25.0767966058612,0.000581197916329855,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.6,0.08,0.117432023033144,26.7969602616882,0.000804242828609204,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.6,0.14,0.130761050872483,27.5035874539202,0.000949793376605411,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.6,0.22,0.142160703031042,27.7334063696427,0.00108140628760463,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.6,0.32,0.144896475893635,25.655031221049,0.00156240140970725,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.6,0.48,0.144938789236123,24.1308890385641,0.00421878077882518,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.6,0.7,0.148136940552715,25.5106056323271,0.010427793375771,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.9,0.04,0.0822120536439413,23.2572572567193,0.00044900715123529,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.9,0.08,0.131760169476913,26.4611411938722,0.000644989843766987,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.9,0.14,0.150508105946753,27.186409917214,0.000780124255883392,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.9,0.22,0.147762962426474,26.5537582335668,0.0010416083823951,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.9,0.32,0.142809679136101,25.232525585636,0.00243801462842905,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.9,0.48,0.146544267641181,24.7569432371832,0.00667221227543649,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.9,0.7,0.135202703698729,26.3542244835888,0.0138787439959018,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.12,0.04,0.110572478537305,27.5661703768,0.000917259829583207,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.12,0.08,0.0665479946877382,28.820833827869,0.00203639167009187,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.12,0.14,0.0487309571955206,28.9382504319879,0.00362846501333722,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.12,0.22,0.0413394996146733,28.9866952415898,0.00572714717751305,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.12,0.32,0.0376959162727279,29.0055594463632,0.00834465837831578,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.12,0.48,0.0353646443067112,28.9432611091292,0.0125237104724039,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.12,0.7,0.0343371145290213,28.8893048096855,0.0182674839588909,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.2,0.04,0.131824840215398,24.8806527401725,0.000240153112609575,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.2,0.08,0.150465431243169,28.2425952419402,0.00039328285487015,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.2,0.14,0.147486047056876,24.4759324344662,0.0015333467573646,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.2,0.22,0.147188432193562,25.6938534121955,0.00403458687904258,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.2,0.32,0.123456350026079,27.364214412917,0.00714499589690709,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.2,0.48,0.0969186786041681,28.1157258333547,0.0117339101090809,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.2,0.7,0.0781779378736958,28.5609792479243,0.0177457304585735,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.35,0.04,0.100374994101601,24.5313154165544,0.000455919181032229,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.35,0.08,0.132608640505054,28.0269337188296,0.000627175678880136,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.35,0.14,0.137974883647104,28.6036653341888,0.000723074330699061,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.35,0.22,0.147614655849664,27.6632727386721,0.00106514921721868,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
