time_s,sr_output
146.88,-0.0326952892279609
146.9,-0.0302293428517035
146.92,-0.0267734573715374
146.94,-0.0244673803216142
146.96,-0.0229772055857584
146.98,-0.0217241093190343
147,-0.0200327907749558
147.02,-0.0197163783328582
147.04,-0.0220121779723932
147.06,-0.0222451733890471
147.08,-0.021324370946498
147.1,-0.0202995670361148
147.12,-0.0190948655752403
147.14,-0.0158272266871756
147.16,-0.0157804855521905
147.18,-0.0169581349541683
147.2,-0.0192969779572117
147.22,-0.0225941255917925
147.24,-0.0257956387610232
147.26,-0.0274103112424944
147.28,-0.0295898084591895
147.3,-0.0314856504646052
147.32,-0.0331154704480074
147.34,-0.0325236280477768
147.36,-0.033102267647412
147.38,-0.0326941259461351
147.4,-0.0303646040083069
147.42,-0.0293802722472439
147.44,-0.030337409142269
147.46,-0.031267674302467
147.48,-0.0317713181890833
147.5,-0.031600126766671
147.52,-0.0300729735738356
147.54,-0.0274784193272468
147.56,-0.024213470825113
147.58,-0.0220460000571668
147.6,-0.0222208090011371
147.62,-0.0221984228755616
147.64,-0.0231960331111167
147.66,-0.0239268559808654
147.68,-0.0237523286570526
147.7,-0.024696156396166
147.72,-0.0251105934235711
147.74,-0.0258242054481023
147.76,-0.0278371344651592
147.78,-0.0296822251425575
147.8,-0.0300900673354915
147.82,-0.0313099915570491
147.84,-0.0311618211622947
147.86,-0.0308974663096374
147.88,-0.0302606126338857
147.9,-0.0288720099263667
147.92,-0.0274510673096389
147.94,-0.0265365788505004
147.96,-0.0250827902380064
147.98,-0.0246831844164563
148,-0.0247199985689438
148.02,-0.0235038879038444
148.04,-0.0235445526441957
148.06,-0.024885807096064
148.08,-0.0252523568053957
148.1,-0.0245025398768079
148.12,-0.0256448392919346
148.14,-0.0256645576372784
148.16,-0.0239472500662457
148.18,-0.0246788790052287
148.2,-0.0262571982236718
148.22,-0.028078250194577
148.24,-0.0301182887878726
148.26,-0.0317649188883681
148.28,-0.0312955130605468
148.3,-0.0302228621576036
148.32,-0.0255023633310528
148.34,-0.0213226981634
148.36,-0.0157799824729614
148.38,-0.00909532198793694
148.4,-0.00483770045788467
148.42,-0.00334079449311964
148.44,0.000911418381795981
148.46,0.00408900384952038
148.48,0.00658579590369734
148.5,0.0106270237728093
148.52,0.0142435878704036
148.54,0.0173900149824396
148.56,0.0211787086411438
148.58,0.0242913891003999
148.6,0.026927989242237
148.62,0.0287757190010863
148.64,0.0284338600134554
148.66,0.025940755342941
148.68,0.0220680524976277
148.7,0.0168980215232383
148.72,0.012540344845971
148.74,0.00908458724064809
148.76,0.00642592286706345
148.78,0.00353038661524263
148.8,0.00342360279433673
148.82,0.00448865814914268
148.84,0.00442771546079845
148.86,0.005942796826366
148.88,0.00996940208665287
148.9,0.0107418392121404
148.92,0.0112753813344079
148.94,0.0116536728754034
148.96,0.0119023665306065
148.98,0.0103821964263718
149,0.0117670841674719
149.02,0.0142498646594879
149.04,0.0163797087205967
149.06,0.0178662718159371
149.08,0.0209631894915751
149.1,0.0213662819898471
149.12,0.019917845602014
149.14,0.0187222772373757
149.16,0.0164742008175492
149.18,0.0135570657088985
149.2,0.0121292779592271
149.22,0.0106743264087216
149.24,0.00874895738906167
149.26,0.00595118195758559
149.28,-0.000228386842171191
149.3,-0.0069462579456756
149.32,-0.0118518999583266
149.34,-0.0144045220419691
149.36,-0.0167685603432441
149.38,-0.0175939531403263
149.4,-0.0173999372715342
149.42,-0.0155042886124152
149.44,-0.0162091278382627
149.46,-0.0164643693628901
149.48,-0.0162629540904647
149.5,-0.0183459930905574
149.52,-0.0222595555624698
149.54,-0.0236350446050965
149.56,-0.0234740011809355
149.58,-0.0222640582230059
149.6,-0.0189610684999859
149.62,-0.0178833749335778
149.64,-0.0170282014323085
149.66,-0.0159407278775688
149.68,-0.014010330144807
149.7,-0.0140593258790012
149.72,-0.014287479340571
149.74,-0.0154627177020104
149.76,-0.0177232885680988
149.78,-0.0206107705838535
149.8,-0.0207096608527109
149.82,-0.0193721435456983
149.84,-0.0173321305985491
149.86,-0.015037964088455
149.88,-0.0135283248080574
149.9,-0.0128991968978053
149.92,-0.0108513858827898
149.94,-0.0102750314800233
149.96,-0.00821496121587362
149.98,-0.00586641362849039
150,-0.00307005356980083
150.02,-0.00241642897553274
150.04,0.000611550882694378
150.06,0.00282459839533711
150.08,0.00534639416137461
150.1,0.00873197445835083
150.12,0.0118146941538863
150.14,0.0129069752492844
150.16,0.0116494586282033
150.18,0.00928897479428048
150.2,0.00664821955550121
150.22,0.00330326597048691
150.24,1.67971122282395e-05
150.26,-0.00149243218981121
150.28,-0.00146938742119251
150.3,-0.00111356476709934
150.32,-0.000424814178942468
150.34,0.0022381047188057
150.36,0.00378267178732583
150.38,0.00567481689753946
150.4,0.0044969803421967
150.42,0.00444372081449684
150.44,0.00506073469708046
150.46,0.00561382362545582
150.48,0.00580032769199701
150.5,0.00900259568175354
150.52,0.0137417785210679
150.54,0.0162855264747942
150.56,0.0194715974287148
150.58,0.0232836243582309
150.6,0.0274028517605388
150.62,0.0303472916952138
150.64,0.0318646006924451
150.66,0.0327463105760143
150.68,0.0333374118073514
150.7,0.0323868032803326
150.72,0.0305862829596707
150.74,0.0297749396517725
150.76,0.0277772939495272
150.78,0.0246166481115991
150.8,0.0211309288415035
150.82,0.0173688215283919
150.84,0.0148965795069339
150.86,0.0141529931812024
150.88,0.0141093661961914
150.9,0.0142607214773814
150.92,0.0159579786596159
150.94,0.0170117619375681
150.96,0.0183104520805993
150.98,0.0208112207958285
151,0.0223932289868695
151.02,0.0231015550306789
151.04,0.0251516529949097
151.06,0.0270538679153346
151.08,0.026413966389058
151.1,0.0268482311943127
151.12,0.0281829385954203
151.14,0.0277102011675198
151.16,0.0260971480896987
151.18,0.0242059690471182
151.2,0.0199116753376453
151.22,0.0144273125437934
151.24,0.00866021236522296
151.26,0.00276809026905467
151.28,-0.00247244973469374
151.3,-0.00575286610142345
151.32,-0.00980840105666836
151.34,-0.0114977496510186
151.36,-0.0127983187854378
151.38,-0.0136645202212388
151.4,-0.0141590321465643
151.42,-0.0137046358834794
151.44,-0.0135408172148818
151.46,-0.0106131903031491
151.48,-0.00664872712630216
151.5,-0.00343617723820222
151.52,0.00110557514614607
151.54,0.00466915524006606
151.56,0.00603100138418367
151.58,0.00545614721955257
151.6,0.00448648818148134
151.62,0.00199190098880664
151.64,-0.0019012425036985
151.66,-0.00505031977769388
151.68,-0.00876004104251416
151.7,-0.00970314374418191
151.72,-0.00978508116366072
151.74,-0.00818376538302734
151.76,-0.00694770781453102
151.78,-0.00417632299704607
151.8,-0.00451050869623559
151.82,-0.00560535764549519
151.84,-0.00800597996941921
151.86,-0.00992760464983689
151.88,-0.0119343607177841
151.9,-0.0124515030455278
151.92,-0.0113812243736383
151.94,-0.00917440164948291
151.96,-0.00764363135269386
151.98,-0.00485345276757765
152,-0.00273588333030539
152.02,-0.00194644721611226
152.04,-0.000936611910697049
152.06,0.00115454229543588
152.08,0.00173396239360224
152.1,0.00369949576443995
152.12,0.00503127406293069
152.14,0.00472970942977813
152.16,0.00165950618750588
152.18,0.000619461410327427
152.2,-0.0020654193962899
152.22,-0.00526353840363181
152.24,-0.00719596522138166
152.26,-0.0085259699151452
152.28,-0.0125562004027781
152.3,-0.0145772082595573
152.32,-0.0141553145747224
152.34,-0.0151947063142096
152.36,-0.0155161887885316
152.38,-0.0142368270024114
152.4,-0.0137713680328642
152.42,-0.0141900192259178
152.44,-0.0131005796304771
152.46,-0.0108420248752615
152.48,-0.00964943457387901
152.5,-0.00793982028507823
152.52,-0.00711006594410757
152.54,-0.00724801454019797
152.56,-0.00586231384922242
152.58,-0.00598896350446165
152.6,-0.00785327567410432
152.62,-0.00772161121709913
152.64,-0.00606898418638302
152.66,-0.00721827585585044
152.68,-0.00634439392547126
152.7,-0.00512045138494643
152.72,-0.0080335628275443
152.74,-0.0105434425599235
152.76,-0.0112451851205356
152.78,-0.0127056398102584
152.8,-0.0136329860789548
152.82,-0.0112842097393524
152.84,-0.0101188744865229
152.86,-0.0101654233071716
152.88,-0.00966143500276462
152.9,-0.00829735048494351
152.92,-0.00658856548675446
152.94,-0.00719539103678157
152.96,-0.00769705230896256
152.98,-0.00801460246243701
153,-0.00810105914811043
153.02,-0.00708758685803912
153.04,-0.00556902699848616
153.06,-0.00481205874333301
153.08,-0.00478384099094276
153.1,-0.00544612897002572
153.12,-0.0079490209928984
153.14,-0.00941694721019226
153.16,-0.00949937643508258
153.18,-0.00745602825105574
153.2,-0.00669077639017734
153.22,-0.00555152657834002
153.24,-0.00381660777693316
153.26,-0.0028851031613949
153.28,-0.00479531585548942
153.3,-0.00711893046969037
153.32,-0.0104697991675615
153.34,-0.0148249176255077
153.36,-0.0195352832989056
153.38,-0.0237007078815028
153.4,-0.0255891881417859
153.42,-0.0273871017575165
153.44,-0.0268087816179614
153.46,-0.0247745748510494
153.48,-0.0205625000921015
153.5,-0.0159355283040524
153.52,-0.0110210656320769
153.54,-0.00746519846343752
153.56,-0.00617788992386104
153.58,-0.00444522643964596
153.6,-0.00555697912091113
153.62,-0.006757071873153
153.64,-0.00890031303673666
153.66,-0.0122623396775238
153.68,-0.0167285522050609
153.7,-0.0203007347684935
153.72,-0.024781777547158
153.74,-0.0284955524389359
153.76,-0.0289872298591327
153.78,-0.0300512117445315
153.8,-0.0293237526420156
153.82,-0.02676143235279
153.84,-0.0229059708380306
153.86,-0.0189549651112305
153.88,-0.0161900199184214
153.9,-0.0133860162200093
153.92,-0.0103163116618236
153.94,-0.00869392689380699
153.96,-0.00710234056424408
153.98,-0.00382920866035918
154,-0.00232285892945194
154.02,-0.00148478578174227
154.04,0.000706024310634823
154.06,0.00381996473198332
154.08,0.00626672167876319
154.1,0.00959879631227645
154.12,0.0115533301748681
154.14,0.0108937912026611
154.16,0.00853655475626247
154.18,0.00434520554644158
154.2,-0.00232555746561836
154.22,-0.00821740399399629
154.24,-0.0119045700524743
154.26,-0.0169499226611303
154.28,-0.0199032169565969
154.3,-0.0192931831658363
154.32,-0.0181160150113313
154.34,-0.0168779065374971
154.36,-0.0135549750110412
154.38,-0.00867860185470726
154.4,-0.00525392530286661
154.42,-0.000186754063588701
154.44,0.00239510073490179
154.46,0.00467589684359615
154.48,0.0068212314303252
154.5,0.0108273827311406
154.52,0.0128007925599177
154.54,0.0166292146075923
154.56,0.0199493979348998
154.58,0.0203873244277933
154.6,0.0183920543728869
154.62,0.017061417487319
154.64,0.0155182221935745
154.66,0.0155221402342619
154.68,0.0173131743458875
154.7,0.0190675125460303
154.72,0.0177817487184998
154.74,0.0161191992261825
154.76,0.0133711869123895
154.78,0.0094337509864445
154.8,0.00515837467443403
154.82,0.00404250869950429
154.84,0.00551069672334126
154.86,0.00667113050511914
154.88,0.00859875947685318
154.9,0.0120750347875321
154.92,0.0149234783328228
154.94,0.0146236035295536
154.96,0.0155349755647255
154.98,0.0175770660683058
155,0.0186266244157084
155.02,0.0203803124177152
155.04,0.0229210568565911
155.06,0.0239489805672225
155.08,0.0230497669323896
155.1,0.0221672438431785
155.12,0.0202460949203634
155.14,0.0174849108785885
155.16,0.0125482294822775
155.18,0.00931437710069261
155.2,0.00552559333123426
155.22,0.00128103645680977
155.24,-0.00127943366513839
155.26,-0.00206401956757085
155.28,-0.00487921161348615
155.3,-0.00552783272122148
155.32,-0.00635968376434926
155.34,-0.00695568527571655
155.36,-0.00792534062470929
155.38,-0.010789212578486
155.4,-0.0144260011157546
155.42,-0.0167947394489709
155.44,-0.0209241088570257
155.46,-0.0241246046709558
155.48,-0.022559111034818
155.5,-0.0216757266926196
155.52,-0.0210516465853817
155.54,-0.0196054175486921
155.56,-0.0160993784535102
155.58,-0.0136228078532633
155.6,-0.0100471645063187
155.62,-0.00615932784351114
155.64,-0.00192350379427675
155.66,0.00131608448481402
155.68,0.00341717961877663
155.7,0.00400568548490676
155.72,0.00185524246095159
155.74,-0.000715531644204792
155.76,-0.00438558362242125
155.78,-0.00934100823460482
155.8,-0.0159266557387533
155.82,-0.019709074213128
155.84,-0.0231711865472601
155.86,-0.0264834727929812
155.88,-0.0269901089664013
155.9,-0.0238536889429753
155.92,-0.0223836195423845
155.94,-0.0214735166026704
155.96,-0.0198453814156009
155.98,-0.0175708502563386
156,-0.0176023511877041
156.02,-0.0160477234358866
156.04,-0.0122143163307576
156.06,-0.00866084176410031
156.08,-0.0073242224680764
156.1,-0.00843912909443567
156.12,-0.00938647364254841
156.14,-0.0119085924891382
156.16,-0.0150446223951222
156.18,-0.0187904716602918
156.2,-0.0194787405256587
156.22,-0.0198393059365245
156.24,-0.0206649160399039
156.26,-0.0221900288802714
156.28,-0.0224258905089216
156.3,-0.021735838218124
156.32,-0.0209552223354975
156.34,-0.0197528347032737
156.36,-0.0152880850196393
156.38,-0.0121656817743586
156.4,-0.0105385079925826
156.42,-0.0084761157224964
156.44,-0.00459968709945324
156.46,-0.00375969507727714
156.48,-0.00382695523789389
156.5,-0.00216408633317233
156.52,0.000194308538539412
156.54,-0.00143337091765428
156.56,-0.000670767667545591
156.58,0.00428728324933936
156.6,0.00846835561156045
156.62,0.00922779875632573
156.64,0.0117433311887537
156.66,0.0126427921837261
156.68,0.0103726790799007
156.7,0.00877123006837255
156.72,0.0082444082678369
156.74,0.00730418837015379
156.76,0.00632520583061769
156.78,0.00676407009988533
156.8,0.00748542989695922
156.82,0.00742981487130268
156.84,0.00791178640782253
156.86,0.00963907209923487
156.88,0.0104779302915158
156.9,0.00923373042399078
156.92,0.00956802096812803
156.94,0.00968664588783763
156.96,0.0104130054100141
156.98,0.0119150135574458
157,0.0138032100577178
157.02,0.0159048540039476
157.04,0.0201550771188627
157.06,0.0236957729560691
157.08,0.0270309727208097
157.1,0.0298432892911463
157.12,0.0311321328517266
157.14,0.0300517755090689
157.16,0.0266388461983699
157.18,0.0225980611846365
157.2,0.0194733556722054
157.22,0.0157790742064235
157.24,0.0101134645709401
157.26,0.00605182498740964
157.28,0.00408799579011843
157.3,0.00195226171387308
157.32,0.00142666447091588
157.34,0.00400346781133643
157.36,0.00594855227554503
157.38,0.00663230850335028
157.4,0.00778947658416074
157.42,0.00820095294380463
157.44,0.00826278891055521
157.46,0.00883309526497322
157.48,0.00843813684286132
157.5,0.00828980850977901
157.52,0.00796945869082799
157.54,0.0085506446717224
157.56,0.0104292569563417
157.58,0.0125907059997646
157.6,0.013638622687654
157.62,0.0148556201920748
157.64,0.0160662992420283
157.66,0.0143278813214026
157.68,0.0131040046686487
157.7,0.0129190515930128
157.72,0.0117170133031795
157.74,0.00770961109529622
157.76,0.00432164539228042
157.78,-0.000661348319121569
157.8,-0.00593892386263462
157.82,-0.0106866606053015
157.84,-0.0141504423288342
157.86,-0.0152399026686361
157.88,-0.0160346911708075
157.9,-0.0158505817971536
157.92,-0.0140672475222624
157.94,-0.0122811785874549
157.96,-0.012175912739412
157.98,-0.00996066992140721
158,-0.0083874423929764
158.02,-0.00746802031720739
158.04,-0.00468070027160139
158.06,-0.00168890711627867
158.08,-0.000515710968140182
158.1,0.00101802508546556
158.12,0.0019238971384693
158.14,0.000281863498649781
158.16,-0.00106668257166742
158.18,-0.00149324411297025
158.2,-0.00286010779927581
158.22,-0.00433220613461016
158.24,-0.00353543652268695
158.26,-0.00369274684272325
158.28,-0.00577028456502482
158.3,-0.00921153536099761
158.32,-0.0107079663712752
158.34,-0.0138580677858825
158.36,-0.0162036974017239
158.38,-0.0162653976940458
158.4,-0.0126175348118603
158.42,-0.0102709686688912
158.44,-0.0077376986986738
158.46,-0.0059845719909114
158.48,-0.00331295248564867
158.5,-0.00280819341277028
158.52,-0.00183949365425318
158.54,-0.000742542504572508
158.56,-0.000861608538141545
158.58,-0.00273209911578243
158.6,-0.00533536497288556
158.62,-0.00800741954371953
158.64,-0.0109899754243686
158.66,-0.0127392818140237
158.68,-0.0168077442314697
158.7,-0.0212216180994448
158.72,-0.0264104246664267
158.74,-0.0322995188077767
158.76,-0.0374162506542216
158.78,-0.0385246952178067
158.8,-0.036593420108747
158.82,-0.0319514673325709
158.84,-0.0267983865796558
158.86,-0.0207860244220616
158.88,-0.0163656905968219
158.9,-0.0130371041966865
158.92,-0.0116102195084082
158.94,-0.00909383713085032
158.96,-0.00597556249773268
158.98,-0.00319136791344132
159,-0.00102305875667186
159.02,0.00215599561108026
159.04,0.00479280451909314
159.06,0.00609693447284021
159.08,0.0074373251695482
159.1,0.00802697549020259
159.12,0.00539206357198252
159.14,0.00142657551644032
159.16,-0.00274053561605336
159.18,-0.00737315944007833
159.2,-0.0140717282650551
159.22,-0.0190150354609362
159.24,-0.0220534430666176
159.26,-0.0229340883033496
159.28,-0.0232959300079292
159.3,-0.0228085066472298
159.32,-0.0211182746595405
159.34,-0.0222797398117914
159.36,-0.0238320383550045
159.38,-0.0257734316839162
159.4,-0.0264481594049146
159.42,-0.0264015523515282
159.44,-0.0235118963548874
159.46,-0.0215435507933344
159.48,-0.0167146771654852
159.5,-0.010899581419726
159.52,-0.00668986805153149
159.54,-0.00438052642640274
159.56,-0.00182690321298862
159.58,-0.00158904657928438
159.6,-0.00187470818366353
159.62,-0.00243488786927848
159.64,-0.00197950328910823
159.66,-0.00201041232659604
159.68,-0.00245276266246119
159.7,-0.00251095497330456
159.72,-0.00193002251422725
159.74,-0.00162791509940208
159.76,-0.00165772932088326
159.78,-0.000665566832897424
159.8,-0.000505729596184112
159.82,-0.000402461470543347
159.84,-0.000849793478802541
159.86,-0.00122270596547369
159.88,-0.00242693985127984
159.9,-0.00331055697764193
159.92,-0.00530349691059906
159.94,-0.00669495548473631
159.96,-0.00496177485091154
159.98,-0.00357469273486266
160,-0.0022116750104394
160.02,-0.00113670909233965
160.04,7.13685370077322e-05
160.06,-0.00279225604954481
160.08,-0.00401476667699485
160.1,-0.00435059493184953
160.12,-0.00528627758729971
160.14,-0.00579928606514646
160.16,-0.00630080339158778
160.18,-0.00779661030014811
160.2,-0.00754943064748792
